0.033852, 0.025115, 0.049756, 0.023348, 0.025515, 0.023665
0.054540, 0.056469, 0.101682, 0.083778, 0.045779, 0.045131
0.077520, 0.047625, 0.135606, 0.110117, 0.073367, 0.070638
0.154552, 0.068074, 0.151806, 0.101092, 0.095696, 0.091593
0.132906, 0.091219, 0.256354, 0.168851, 0.119303, 0.114406
0.183580, 0.168007, 0.306015, 0.185902, 0.142013, 0.138320
0.246109, 0.163345, 0.289155, 0.224304, 0.163799, 0.161903
0.220899, 0.149899, 0.320799, 0.239266, 0.188728, 0.178740
0.272039, 0.146441, 0.393753, 0.268441, 0.216164, 0.209166
0.259925, 0.225785, 0.454434, 0.373790, 0.241530, 0.228849
0.364150, 0.258028, 0.475111, 0.302204, 0.261488, 0.256708
0.343086, 0.250454, 0.517389, 0.315680, 0.282820, 0.268245
0.426563, 0.315006, 0.560890, 0.497894, 0.309257, 0.306222
0.415745, 0.308698, 0.620520, 0.338763, 0.332381, 0.325106
0.479055, 0.356370, 0.671727, 0.485934, 0.361194, 0.340970
0.489723, 0.400027, 0.731264, 0.464678, 0.380510, 0.361366
0.529630, 0.369380, 0.821850, 0.538721, 0.405853, 0.391471
0.551479, 0.414225, 0.787422, 0.520266, 0.427787, 0.408013
0.556150, 0.418597, 0.825764, 0.655978, 0.454719, 0.438532
0.619834, 0.400197, 0.856888, 0.610484, 0.473586, 0.453601
0.736588, 0.585508, 0.941097, 0.738670, 0.499664, 0.482055
0.692470, 0.493797, 0.946078, 0.574178, 0.518306, 0.510343
0.716502, 0.484825, 0.964968, 0.701989, 0.548002, 0.519680
0.737058, 0.508118, 1.136894, 0.770169, 0.569163, 0.555407
0.769050, 0.497860, 1.185258, 0.712286, 0.591735, 0.572662
0.798326, 0.606273, 1.235546, 0.844609, 0.620821, 0.590902
0.818390, 0.645896, 1.193034, 0.923402, 0.649948, 0.624079
0.881002, 0.561682, 1.284665, 1.004758, 0.671481, 0.652983
0.893384, 0.653761, 1.384744, 0.819072, 0.690381, 0.660552
0.869727, 0.677639, 1.365333, 0.937280, 0.711561, 0.685981
0.987388, 0.730281, 1.373408, 0.830073, 0.741275, 0.713659
1.014883, 0.751486, 1.373787, 0.949196, 0.756223, 0.737221
1.030458, 0.647109, 1.512907, 1.213737, 0.790043, 0.753593
1.065436, 0.983125, 1.566990, 0.908016, 0.806094, 0.781986
1.077050, 0.814663, 1.632140, 1.024383, 0.829331, 0.810016
1.158074, 0.813880, 1.463715, 1.086355, 0.856682, 0.826467
1.115486, 0.793094, 1.628298, 1.217445, 0.879452, 0.853878
1.157200, 0.873164, 1.811736, 1.168630, 0.898211, 0.866784
1.199156, 0.891238, 1.717300, 1.213944, 0.941578, 0.890508
1.147697, 0.940472, 1.777675, 1.111876, 0.951896, 0.919312
1.408351, 1.007695, 1.956791, 1.280907, 0.973412, 0.941340
1.315782, 0.960673, 1.786825, 1.147039, 1.001416, 0.949176
1.340206, 1.003510, 2.043594, 1.409181, 1.017108, 0.992153
1.334241, 0.994129, 1.811017, 1.353350, 1.050551, 1.015642
1.464964, 1.118539, 2.149413, 1.364362, 1.075351, 1.036830
1.376732, 1.060010, 2.071200, 1.505287, 1.099725, 1.057924
1.453643, 1.074843, 2.140775, 1.268456, 1.117221, 1.083259
1.542917, 1.080379, 2.191571, 1.424727, 1.131522, 1.103053
1.577718, 1.116046, 2.251553, 1.673018, 1.164965, 1.127279
1.528553, 1.259112, 2.320609, 1.482959, 1.188847, 1.151157
